0, 338, 1, 10507, 1.3548026963467795e-06, 1
1, 101, 1, 3850, 1.0038980342140276e-08, 1
2, 50, 1, 9166, 1.6378738548716526e-07, 1
3, 68, 1, 3665, 1.5931803633854143e-09, 1
4, 99, 1, 4658, 6.355395191322175e-08, 1
5, 157, 1, 24644, 2.8723349200190007e-08, 1
6, 80, 1, 4069, 1.078680306868926e-05, 1
7, 326, 1, 24745, 1.0842882970602415e-08, 1
8, 63, 1, 3565, 1.796560793316844e-05, 1
9, 148, 1, 4041, 6.490917456475953e-07, 1
10, 207, 1, 3306, 3.944822692172548e-06, 1
11, 78, 1, 6597, 2.722568163526474e-07, 1
12, 42, 1, 4828, 4.9319941764764136e-08, 1
13, 146, 1, 4543, 0.0013799191393248128, 1
14, 111, 1, 7507, 1.1623397792980735e-05, 1
15, 45, 1, 15345, 0.004013105099032511, 1
16, 117, 1, 4118, 0.005349114897754938, 1
17, 99, 1, 6214, 1.2265939322870229e-06, 1
18, 45, 1, 4259, 0.000232576108528869, 1
19, 46, 1, 5468, 1.2669791293562924e-07, 1
20, 1, 1, 13277, 0.018264344897837567, 0, [0 15]
21, 1, 1, 13822, 0.02954844056457378, 0, [1 2]
22, 1, 1, 13382, 0.016459733566589776, 0, [2 1]
23, 1, 1, 12954, 0.024393810677966275, 0, [2 11]
24, 1, 1, 13726, 0.01397568003817946, 0, [3 7]
25, 1, 1, 12494, 0.01470554986403272, 0, [4 0]
26, 1, 1, 100482, 0.12788932520948315, 0, [5 2]
27, 1, 1, 8342, 0.009002921347752827, 0, [6 0]
28, 1, 1, 11348, 0.020093111779173823, 0, [8 5]
29, 1, 1, 16877, 0.024936013031056664, 0, [9 5]
30, 1, 1, 16070, 0.006494895124218493, 0, [10 5]
31, 1, 1, 19586, 0.11185674731959525, 0, [10 6]
32, 1, 1, 114528, 0.010179921663082752, 0, [10 5]
33, 1, 1, 31105, 0.011609794450629684, 0, [12 18]
34, 1, 1, 15922, 0.0478991635196619, 0, [13 19]
35, 1, 1, 8144, 0.02772124163585152, 0, [13 9]
36, 1, 1, 8494, 0.01066730150828026, 0, [14 7]
37, 1, 2, 41733, 0.007064031904291498, 0, [14 5]
38, 1, 1, 11002, 0.014299887256886473, 0, [14 7]
39, 1, 1, 13719, 0.024179476811380524, 0, [14 9]
40, 1, 1, 9978, 0.036518603987800526, 0, [16 1]
41, 1, 1, 9551, 0.01186258366609587, 0, [17 11]
42, 1, 1, 13332, 0.006773109888693927, 0, [19 9]
43, 1, 1, 16376, 0.016034182472724857, 0, [10 12]

