# id, pathways, overhead, byte_rate, drop_rate, logic, connections

# hosts
0, 16, 2, 1000, 0, 1
1, 16, 2, 1000, 0, 1
2, 8, 2, 600, 0, 1
3, 8, 2, 600, 0, 1
4, 4, 2, 300, 0, 1
5, 4, 2, 100, 0, 1
6, 4, 2, 200, 0, 1
7, 2, 2, 150, 0, 1
8, 1, 2, 350, 0, 1

# physical links
9, 4, 3, 200, 0.02, 0, [0 1]
10, 2, 3, 180, 0.025, 0, [1 2]
11, 2, 3, 160, 0.05, 0, [8 7]
12, 1, 3, 175, 0.0125, 0, [2 3]
13, 1, 4, 150, 0.025, 0, [1 6]
14, 1, 3, 125, 0.035, 0, [3 8]
15, 1, 3, 225, 0.025, 0, [4 7]
16, 1, 3, 75, 0.025, 0, [8 4]
17, 1, 3, 65, 0.025, 0, [1 3]
18, 1, 4, 90, 0.025, 0, [3 5]
19, 1, 3, 110, 0.075, 0, [5 3]
20, 1, 3, 100, 0.025, 0, [1 5]
