13, 110, 154, 139
15, 396, 32, 1270
16, 77, 157, 279
17, 441, 288, 755
19, 333, 417, 191
19, 268, 393, 457
21, 109, 55, 296
22, 436, 90, 1239
22, 55, 208, 587
23, 8, 250, 144
23, 278, 387, 330
25, 161, 228, 2015
25, 439, 334, 200
26, 358, 497, 567
26, 89, 150, 1147
28, 110, 154, 216
30, 451, 474, 272
30, 316, 439, 260
30, 74, 240, 2779
31, 109, 55, 225
31, 125, 131, 368
32, 482, 190, 206
33, 288, 8, 1997
33, 288, 441, 1088
34, 157, 77, 262
36, 349, 31, 402
38, 464, 226, 274
38, 384, 459, 942
38, 154, 110, 637
38, 268, 393, 435
39, 161, 228, 160
40, 463, 27, 161
42, 109, 55, 787
42, 387, 278, 344
43, 438, 239, 461
44, 444, 303, 228
44, 255, 344, 187
45, 208, 55, 777
45, 248, 450, 175
46, 358, 497, 141
46, 396, 32, 384
48, 225, 372, 236
49, 333, 417, 196
49, 316, 316, 350
49, 187, 178, 601
50, 157, 77, 375
50, 83, 440, 172
50, 283, 68, 1937
51, 90, 436, 342
52, 190, 482, 190
52, 27, 313, 653
53, 8, 250, 2521
54, 316, 169, 350
55, 419, 414, 426
56, 89, 24, 1443
57, 379, 121, 266
57, 288, 441, 284
57, 103, 237, 187
57, 74, 240, 160
58, 439, 316, 214
59, 109, 55, 528
60, 154, 110, 169
61, 393, 268, 140
62, 150, 89, 143
62, 334, 249, 1512
66, 32, 396, 2547
67, 474, 451, 692
68, 497, 358, 154
68, 357, 450, 250
68, 467, 286, 145
69, 436, 90, 1101
69, 320, 78, 344
69, 161, 228, 557
70, 157, 77, 1180
70, 374, 289, 285
71, 484, 429, 206
73, 441, 288, 575
73, 8, 250, 145
73, 58, 363, 183
73, 448, 75, 1604
74, 110, 154, 137
75, 372, 225, 147
75, 237, 248, 594
76, 333, 417, 1802
76, 278, 387, 146
76, 280, 387, 177
76, 393, 268, 392
77, 190, 482, 141
78, 55, 208, 2121
78, 464, 226, 143
78, 334, 439, 296
80, 55, 109, 160
80, 64, 285, 153
82, 131, 125, 252
82, 162, 377, 242
83, 110, 154, 181
84, 288, 8, 254
84, 441, 288, 739
84, 161, 228, 357
84, 384, 459, 229
85, 240, 499, 219
85, 358, 497, 600
85, 450, 248, 195
87, 440, 83, 209
87, 285, 462, 147
87, 463, 27, 491
88, 277, 370, 1015
88, 449, 373, 435
89, 77, 157, 146
91, 31, 349, 193
91, 32, 396, 238
93, 90, 436, 404
93, 49, 100, 307
94, 316, 316, 145
94, 393, 268, 264
94, 74, 240, 196
95, 152, 116, 867
96, 109, 55, 535
96, 438, 239, 767
96, 154, 110, 366
96, 464, 113, 1557
97, 157, 77, 558
98, 195, 55, 208
98, 280, 317, 203
99, 156, 267, 234
99, 207, 103, 213
99, 303, 129, 343
100, 121, 379, 141
102, 121, 242, 163
102, 288, 441, 214
102, 89, 150, 321
102, 25, 206, 1000
102, 344, 255, 1622
102, 65, 142, 429
103, 288, 8, 188
104, 208, 55, 346
104, 290, 396, 934
104, 392, 359, 180
104, 110, 154, 782
105, 417, 333, 523
105, 212, 480, 192
105, 439, 316, 756
