298, 60, 7, 79
312, 81, 82, 119
333, 91, 93, 249
354, 42, 89, 123
360, 90, 16, 356
518, 97, 34, 105
529, 82, 12, 71
532, 15, 84, 106
595, 8, 10, 75
624, 80, 22, 179
645, 96, 25, 251
652, 79, 46, 144
670, 30, 42, 642
677, 42, 91, 79
680, 64, 99, 208
692, 41, 89, 330
703, 93, 91, 111
711, 67, 83, 153
715, 79, 17, 719
727, 51, 54, 77
738, 65, 52, 366
749, 20, 4, 86
767, 74, 79, 74
770, 70, 85, 110
800, 75, 39, 86
804, 73, 28, 205
815, 82, 81, 159
820, 14, 49, 289
849, 78, 87, 162
857, 42, 89, 307
893, 60, 7, 196
906, 16, 90, 144
909, 56, 71, 109
915, 45, 44, 268
917, 70, 69, 340
928, 15, 38, 103
931, 48, 20, 94
970, 84, 15, 160
972, 34, 97, 155
982, 47, 0, 70
993, 7, 18, 667
1034, 9, 45, 131
1035, 8, 10, 556
1090, 9, 44, 96
1122, 73, 86, 323
1124, 73, 37, 73
1130, 30, 6, 157
1152, 3, 94, 412
1180, 51, 54, 351
1183, 89, 41, 246
1226, 23, 7, 225
1240, 14, 49, 177
1259, 91, 93, 153
1260, 82, 12, 85
1279, 11, 94, 82
1317, 81, 82, 90
1323, 32, 66, 348
1360, 67, 48, 87
1402, 55, 66, 92
1411, 99, 64, 96
1438, 83, 76, 101
1445, 36, 75, 167
1453, 66, 3, 73
1461, 84, 15, 88
1463, 7, 60, 76
1468, 3, 44, 720
1469, 91, 93, 158
1472, 67, 83, 71
1486, 46, 61, 178
1522, 73, 28, 300
1537, 90, 16, 72
1590, 54, 51, 739
1594, 70, 69, 252
1612, 41, 89, 142
1613, 10, 8, 126
1815, 7, 60, 87
1892, 64, 99, 105
2057, 8, 10, 82
